2023-03-18 14:44:09,712 - INFO - Rank 0 | Client Args: Namespace(dataset='./dist/repgnn_data/ogbn_products0/', num_gpu=1, sampling='2', hidden_size=256, n_classes=60, batch_size=256, dropout=0.2, lr=0.03, weight_decay=0, model_name='gcn', epoch=1, num_worker=1, cache_size=0, ckpt_path='/dev/shm', seed=None, log=True, dist_url='tcp://10.214.242.140:23456', world_size=2, rank=0, gpu=0, grpc_port='10.214.242.140:18110', deduplicate=True, distributed=True)
2023-03-18 14:44:09,958 - INFO - Rank 0 | Added key: store_based_barrier_key:1 to store for rank: 0
2023-03-18 14:44:09,959 - INFO - Rank 0 | Rank 0: Completed store-based barrier for key:store_based_barrier_key:1 with 2 nodes.
2023-03-18 14:44:09,959 - INFO - Rank 0 | Using 2 distributed GPUs in total for training...
2023-03-18 14:44:23,220 - INFO - Rank 0 | -> 调用去冗余的 fetch_multiple_nfs_elimredun 函数
2023-03-18 14:44:26,135 - INFO - Rank 0 | n_sub_batches:796102
2023-03-18 14:44:43,398 - INFO - Rank 0 | Reducer buckets have been rebuilt in this iteration.
2023-03-18 14:50:08,208 - INFO - Rank 0 | Epoch miss rate ( miss_num/try_num ) for epoch 0 on rank 0: 186627 / 9423938 = 0.019803504649542475
2023-03-18 14:50:08,209 - INFO - Rank 0 | Up to now, total_local_feats_gather_time = 1.016 s, total_remote_feats_gather_time = 1.0190000000000001 s
2023-03-18 14:50:08,209 - INFO - Rank 0 | => cur_epoch 0 finished on rank 0
2023-03-18 15:10:17,146 - INFO - Rank 0 | -------------------------------------------------------  ------------  ------------  ------------  ------------  ------------  ------------  ------------  ------------  ------------  ------------  
                                                   Name    Self CPU %      Self CPU   CPU total %     CPU total  CPU time avg     Self CUDA   Self CUDA %    CUDA total  CUDA time avg    # of Calls  
-------------------------------------------------------  ------------  ------------  ------------  ------------  ------------  ------------  ------------  ------------  ------------  ------------  
                                      total epochs time         5.18%       19.873s        89.65%      343.874s      343.874s       20.548s         5.41%      343.881s      343.881s             1  
                                            gpu-compute        15.13%       58.029s        36.63%      140.523s      15.061ms       58.423s        15.37%      140.420s      15.050ms          9330  
                                             fetch feat         2.45%        9.394s        31.54%      120.969s      38.897ms       11.537s         3.04%      120.942s      38.888ms          3110  
                        DistributedDataParallel.forward         7.27%       27.885s        18.73%       71.840s      11.550ms       31.829s         8.38%       71.781s      11.540ms          6220  
                fetch feat from cache server and concat        11.93%       45.759s        13.88%       53.244s       5.707ms       46.288s        12.18%       53.144s       5.696ms          9330  
                                         model transfer         8.99%       34.497s        13.17%       50.512s       8.121ms       35.602s         9.37%       50.466s       8.113ms          6220  
                                               aten::to         1.11%        4.253s         7.47%       28.643s     191.869us        5.382s         1.42%       27.158s     181.921us        149282  
                                            fill frames         1.32%        5.073s         6.01%       23.044s       2.470ms        6.247s         1.64%       22.941s       2.459ms          9330  
                                         aten::_to_copy         2.01%        7.709s         5.96%       22.865s     183.802us       10.122s         2.66%       21.776s     175.045us        124400  
                                            aten::index         3.16%       12.112s         4.74%       18.170s     365.148us       13.458s         3.54%       17.526s     352.217us         49760  
                                             CopyReduce         2.09%        8.017s         4.33%       16.594s       1.334ms        9.983s         2.63%       16.389s       1.317ms         12440  
