2023-03-16 15:09:26,298 - INFO - Rank 0 | Client Args: Namespace(dataset='./dist/repgnn_data/ogbn_arxiv128/', num_gpu=1, sampling='10-10', hidden_size=256, n_classes=60, batch_size=8000, dropout=0.2, lr=0.03, weight_decay=0, model_name='gcn', epoch=1, num_worker=1, cache_size=0, ckpt_path='/dev/shm', seed=None, log=True, dist_url='tcp://10.214.242.140:23456', world_size=2, rank=0, gpu=0, grpc_port='10.214.242.140:18110', distributed=True)
2023-03-16 15:09:27,068 - INFO - Rank 0 | Added key: store_based_barrier_key:1 to store for rank: 0
2023-03-16 15:09:27,069 - INFO - Rank 0 | Rank 0: Completed store-based barrier for key:store_based_barrier_key:1 with 2 nodes.
2023-03-16 15:09:27,069 - INFO - Rank 0 | Using 2 distributed GPUs in total for training...
2023-03-16 15:09:32,755 - INFO - Rank 0 | n_sub_batches:55049
2023-03-16 15:09:34,998 - INFO - Rank 0 | rank: 0 sub_batch backward done.
2023-03-16 15:09:35,468 - INFO - Rank 0 | Reducer buckets have been rebuilt in this iteration.
2023-03-16 15:09:35,525 - INFO - Rank 0 | rank: 0 sub_batch backward done.
2023-03-16 15:09:36,010 - INFO - Rank 0 | rank: 0 sub_batch backward done.
2023-03-16 15:09:36,542 - INFO - Rank 0 | rank: 0 sub_batch backward done.
2023-03-16 15:09:37,033 - INFO - Rank 0 | rank: 0 sub_batch backward done.
2023-03-16 15:09:37,533 - INFO - Rank 0 | rank: 0 sub_batch backward done.
2023-03-16 15:09:38,024 - INFO - Rank 0 | rank: 0 sub_batch backward done.
2023-03-16 15:09:38,489 - INFO - Rank 0 | rank: 0 sub_batch backward done.
2023-03-16 15:09:38,953 - INFO - Rank 0 | rank: 0 sub_batch backward done.
2023-03-16 15:09:39,474 - INFO - Rank 0 | rank: 0 sub_batch backward done.
2023-03-16 15:09:39,984 - INFO - Rank 0 | rank: 0 sub_batch backward done.
2023-03-16 15:09:40,488 - INFO - Rank 0 | rank: 0 sub_batch backward done.
2023-03-16 15:09:40,965 - INFO - Rank 0 | rank: 0 sub_batch backward done.
2023-03-16 15:09:41,430 - INFO - Rank 0 | rank: 0 sub_batch backward done.
2023-03-16 15:09:41,455 - INFO - Rank 0 | Epoch miss rate ( miss_num/try_num ) for epoch 0 on rank 0: 282043 / 1203356 = 0.23438034962222318
2023-03-16 15:09:41,456 - INFO - Rank 0 | Up to now, total_local_feats_gather_time = 0.338 s, total_remote_feats_gather_time = 2.215 s
2023-03-16 15:09:41,457 - INFO - Rank 0 | => cur_epoch 0 finished on rank 0
2023-03-16 15:09:45,280 - INFO - Rank 0 | -------------------------------------------------------  ------------  ------------  ------------  ------------  ------------  ------------  ------------  ------------  ------------  ------------  
                                                   Name    Self CPU %      Self CPU   CPU total %     CPU total  CPU time avg     Self CUDA   Self CUDA %    CUDA total  CUDA time avg    # of Calls  
-------------------------------------------------------  ------------  ------------  ------------  ------------  ------------  ------------  ------------  ------------  ------------  ------------  
                                      total epochs time         3.29%     292.357ms        98.19%        8.718s        8.718s     294.694ms         3.32%        8.719s        8.719s             1  
                                             fetch feat         0.67%      59.169ms        65.39%        5.807s     414.760ms      67.254ms         0.76%        5.807s     414.755ms            14  
                           fetch feat from cache server        56.08%        4.980s        58.18%        5.166s      92.249ms        4.997s        56.35%        5.165s      92.237ms            56  
                                            gpu-compute        13.53%        1.202s        26.09%        2.316s     110.297ms        1.202s        13.55%        2.316s     110.286ms            21  
                        DistributedDataParallel.forward         3.99%     353.931ms        12.16%        1.080s      77.127ms     463.362ms         5.23%        1.080s      77.114ms            14  
                                            aten::copy_         1.65%     146.801ms         5.80%     514.608ms     746.891us     506.630ms         5.71%     506.630ms     735.312us           689  
                                             CopyReduce         0.28%      25.169ms         5.44%     482.858ms      11.497ms     465.252ms         5.25%     481.137ms      11.456ms            42  
                                               aten::to         0.13%      11.973ms         4.96%     440.198ms       1.302ms      15.242ms         0.17%     436.538ms       1.292ms           338  
                                         aten::_to_copy         0.26%      22.943ms         4.78%     424.464ms       1.318ms      29.739ms         0.34%     421.296ms       1.308ms           322  
                             move feats from CPU to GPU         0.15%      12.911ms         4.28%     379.984ms       6.785ms      15.581ms         0.18%     379.083ms       6.769ms            56  
                                         model transfer         1.95%     172.809ms         2.75%     244.299ms      17.450ms     177.328ms         2.00%     244.179ms      17.441ms            14  
                                          create frames         0.80%      71.213ms         0.88%      78.030ms       1.393ms      74.140ms         0.84%      77.276ms       1.380ms            56  
                                            aten::index         0.59%      52.630ms         0.71%      63.479ms     647.745us      54.896ms         0.62%      61.970ms     632.347us            98  
                                            get nf_nids         0.26%      23.514ms         0.70%      61.994ms       4.428ms      26.682ms         0.30%      61.801ms       4.414ms            14  
                                            aten::slice         0.39%      34.723ms         0.71%      63.361ms      97.179us      43.477ms         0.49%      53.899ms      82.667us           652  
                                            aten::zeros         0.33%      29.122ms         0.61%      54.257ms     160.050us      38.407ms         0.43%      48.217ms     142.233us           339  
autograd::engine::evaluate_function: CopyReduceBackw...         0.01%       1.245ms         0.50%      44.568ms       1.592ms       1.736ms         0.02%      44.156ms       1.577ms            28  
                                     CopyReduceBackward         0.23%      20.695ms         0.48%      42.852ms       1.530ms      36.987ms         0.42%      42.420ms       1.515ms            28  
    autograd::engine::evaluate_function: AddmmBackward0         0.03%       2.519ms         0.46%      40.906ms     973.952us       2.546ms         0.03%      40.476ms     963.714us            42  
