INFO Mon, 26 Sep 2022 21:34:37 jpgnn_from_cpu_client_v2.py 31 : Client Args: Namespace(dataset='/data/repgnn/ogbn_arxiv', num_gpu=4, sampling='10-10', hidden_size=256, n_classes=40, batch_size=512, dropout=0.2, lr=0.03, weight_decay=0, model_name='graphsage', epoch=3, num_worker=1, cache_size=0, ckpt_path='/dev/shm')
INFO Mon, 26 Sep 2022 21:34:38 distributed_c10d.py 217 : Added key: store_based_barrier_key:1 to store for rank: 0
INFO Mon, 26 Sep 2022 21:34:38 distributed_c10d.py 217 : Added key: store_based_barrier_key:1 to store for rank: 1
INFO Mon, 26 Sep 2022 21:34:38 distributed_c10d.py 251 : Rank 1: Completed store-based barrier for key:store_based_barrier_key:1 with 4 nodes.
INFO Mon, 26 Sep 2022 21:34:38 distributed_c10d.py 251 : Rank 0: Completed store-based barrier for key:store_based_barrier_key:1 with 4 nodes.
INFO Mon, 26 Sep 2022 21:34:38 distributed_c10d.py 217 : Added key: store_based_barrier_key:1 to store for rank: 3
INFO Mon, 26 Sep 2022 21:34:38 distributed_c10d.py 217 : Added key: store_based_barrier_key:1 to store for rank: 2
INFO Mon, 26 Sep 2022 21:34:38 distributed_c10d.py 251 : Rank 3: Completed store-based barrier for key:store_based_barrier_key:1 with 4 nodes.
INFO Mon, 26 Sep 2022 21:34:38 distributed_c10d.py 251 : Rank 2: Completed store-based barrier for key:store_based_barrier_key:1 with 4 nodes.
INFO Mon, 26 Sep 2022 21:36:08 jpgnn_from_cpu_client_v2.py 74 : It takes 88.35914468765259s on metis algorithm.
INFO Mon, 26 Sep 2022 21:36:18 storage_jpgnn.py 65 : total dims: 128
INFO Mon, 26 Sep 2022 21:36:20 storage_jpgnn.py 65 : total dims: 128
INFO Mon, 26 Sep 2022 21:36:21 storage_jpgnn.py 65 : total dims: 128
INFO Mon, 26 Sep 2022 21:36:21 storage_jpgnn.py 65 : total dims: 128
INFO Mon, 26 Sep 2022 21:36:22 jpgnn_from_cpu_client_v2.py 128 : => Shuffled epoch training nid for epoch 0: [ 67153 106643  37641 ...  65522  66997 104946]
INFO Mon, 26 Sep 2022 21:36:41 storage_jpgnn.py 79 : rank 1 got a part of graph with 42335 nodes.
INFO Mon, 26 Sep 2022 21:36:41 storage_jpgnn.py 79 : rank 2 got a part of graph with 42336 nodes.
INFO Mon, 26 Sep 2022 21:36:41 storage_jpgnn.py 79 : rank 3 got a part of graph with 42336 nodes.
INFO Mon, 26 Sep 2022 21:36:41 storage_jpgnn.py 92 : Cache Memory: 38.54G. Capability: 8467
INFO Mon, 26 Sep 2022 21:36:41 storage_jpgnn.py 104 : cache the part of graph... caching percentage: 0.2000
INFO Mon, 26 Sep 2022 21:36:41 storage_jpgnn.py 92 : Cache Memory: 38.55G. Capability: 8467
INFO Mon, 26 Sep 2022 21:36:41 storage_jpgnn.py 104 : cache the part of graph... caching percentage: 0.2000
INFO Mon, 26 Sep 2022 21:36:41 storage_jpgnn.py 92 : Cache Memory: 38.55G. Capability: 8467
INFO Mon, 26 Sep 2022 21:36:41 storage_jpgnn.py 104 : cache the part of graph... caching percentage: 0.2000
INFO Mon, 26 Sep 2022 21:36:41 storage_jpgnn.py 79 : rank 0 got a part of graph with 42336 nodes.
INFO Mon, 26 Sep 2022 21:36:41 storage_jpgnn.py 92 : Cache Memory: 38.55G. Capability: 8467
INFO Mon, 26 Sep 2022 21:36:41 storage_jpgnn.py 104 : cache the part of graph... caching percentage: 0.2000
Epoch miss rate for epoch 2 on rank 3: 0.6214
=> cur_epoch 2 finished on rank 3
Epoch miss rate for epoch 2 on rank 1: 0.7363
=> cur_epoch 2 finished on rank 1
Epoch miss rate for epoch 2 on rank 2: 0.7239
=> cur_epoch 2 finished on rank 2
Epoch miss rate for epoch 2 on rank 0: 0.5976
=> cur_epoch 2 finished on rank 0
INFO:root:-------------------------------------------------------  ------------  ------------  ------------  ------------  ------------  ------------  ------------  ------------  ------------  ------------  
                                                   Name    Self CPU %      Self CPU   CPU total %     CPU total  CPU time avg     Self CUDA   Self CUDA %    CUDA total  CUDA time avg    # of Calls  
-------------------------------------------------------  ------------  ------------  ------------  ------------  ------------  ------------  ------------  ------------  ------------  ------------  
                                          avg one epoch         4.62%      195.356s        99.92%     4221.869s     4221.869s      195.468s         4.63%     4221.805s     4221.805s             1  
                                            aten::index        53.28%     2251.393s        53.84%     2274.890s     113.286ms     2256.758s        53.42%     2272.809s     113.182ms         20081  
                                             fetch feat         0.13%        5.310s        44.64%     1886.108s        2.915s        6.950s         0.16%     1886.068s        2.915s           647  
                                    fetch feat from cpu         0.76%       32.283s        43.56%     1840.594s     710.106ms       39.951s         0.95%     1840.541s     710.085ms          2592  
                                     gradient allreduce         4.15%      175.547s        31.61%     1335.668s        8.245s      176.076s         4.17%     1335.647s        8.245s           162  
                                            aten::copy_        17.44%      736.740s        17.60%      743.756s      19.627ms      742.907s        17.58%      742.907s      19.604ms         37895  
                                            gpu-compute         0.58%       24.301s        16.36%      691.437s     853.626ms       28.133s         0.67%      691.419s     853.604ms           810  
                                            aten::clone         0.00%     151.303ms         7.37%      311.309s     106.759ms     210.171ms         0.00%      311.243s     106.736ms          2916  
                                             aten::add_         5.56%      235.100s         5.57%      235.399s      18.647ms      235.231s         5.57%      235.231s      18.634ms         12624  
                                           aten::unbind         0.08%        3.507s         2.62%      110.569s      34.126ms       29.510s         0.70%      110.503s      34.106ms          3240  
                                              aten::div         2.58%      108.937s         2.62%      110.565s      21.328ms      109.454s         2.59%      110.495s      21.315ms          5184  
                                           wait sampler         2.16%       91.087s         2.19%       92.508s     142.759ms       92.136s         2.18%       92.502s     142.749ms           648  
                                           aten::select         0.38%       15.982s         2.63%      110.927s     247.450us       53.959s         1.28%       84.591s     188.702us        448279  
                                            aten::zero_         0.02%     865.028ms         1.93%       81.743s       3.763ms        2.079s         0.05%       80.830s       3.721ms         21723  
                                            aten::fill_         1.87%       78.877s         1.88%       79.518s      17.484ms       79.425s         1.88%       79.425s      17.464ms          4548  
                                       aten::zeros_like         0.00%      15.551ms         1.88%       79.243s      80.532ms      72.245ms         0.00%       79.202s      80.490ms           984  
                                             aten::item         0.13%        5.466s         1.18%       49.793s     113.704us       19.196s         0.45%       43.823s     100.072us        437915  
                                       aten::as_strided         0.30%       12.490s         1.55%       65.531s     125.906us       36.008s         0.85%       36.008s      69.183us        520471  
                              aten::_local_scalar_dense         0.13%        5.630s         0.78%       33.113s      75.616us       24.627s         0.58%       24.627s      56.236us        437915  
                                    fetch feat overhead         0.09%        3.837s         0.57%       23.980s       4.626ms        5.374s         0.13%       23.443s       4.522ms          5184  
                                               aten::to         0.03%        1.057s         0.47%       19.879s     438.475us        3.207s         0.08%       18.923s     417.390us         45336  
                                       aten::index_put_         0.01%     271.590ms         0.43%       18.222s       3.516ms     823.560ms         0.02%       18.092s       3.491ms          5182  
                                          aten::nonzero         0.05%        1.964s         0.42%       17.714s       1.709ms        8.222s         0.19%       17.311s       1.670ms         10364  
                                 aten::_index_put_impl_         0.03%        1.341s         0.42%       17.712s       3.418ms        4.050s         0.10%       17.268s       3.332ms          5182  
                                         aten::_to_copy         0.04%        1.659s         0.41%       17.482s     666.474us        3.207s         0.08%       15.716s     599.126us         26231  
                                         model transfer         0.16%        6.812s         0.31%       13.052s       8.057ms        9.940s         0.24%       13.038s       8.048ms          1620  
                                             CopyReduce         0.11%        4.493s         0.29%       12.283s       6.318ms        8.444s         0.20%       12.066s       6.207ms          1944  
                              fetch feat from local gpu         0.00%     183.755ms         0.20%        8.569s       3.306ms     666.167ms         0.02%        8.538s       3.294ms          2592  
                                          aten::reshape         0.04%        1.639s         0.23%        9.542s     313.408us        6.061s         0.14%        8.191s     269.029us         30447  
                                            aten::zeros         0.02%     914.442ms         0.16%        6.730s     351.997us        3.853s         0.09%        6.161s     322.242us         19119  
